Year,State,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Insolvent?,R2_NextYear,R1_normal,R2_normal,R3_normal,R4_normal,R5_normal,R6_normal,R7_normal,R8_normal,R9_normal,R10_normal,R11_normal,R12_normal,R13_normal
2012,KS,1075,109,11,0,99,3.4,0,0,86,6,-2,-5,11,Insolvent,105,0,1,1,1,1,1,1,1,1,1,1,1,1
2013,KS,1134,105,-2,0,100,3,1,1,84,2,0,-1,0,Insolvent,101,0,1,1,1,0,0,1,1,1,1,1,1,1
2014,KS,1082,101,-2,0,98,2.6,3,3,84,1,0,0,0,Insolvent,101,0,1,1,1,1,0,1,1,1,1,1,1,1
2015,KS,1036,101,3,0,95,2.4,3,3,83,1,0,0,2,Insolvent,104,0,1,1,1,1,0,1,1,1,1,1,1,1
2006,OR,237,162,12,0,91,4.1,10,10,74,10,3,16,21,Insolvent,156,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,OR,226,156,7,0,90,4,11,11,69,4,1,4,6,Insolvent,172,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,OR,243,172,11,0,91,4.1,1,1,67,5,-1,2,0,Insolvent,159,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,OR,229,159,-8,0,97,3.9,0,0,67,5,-4,-3,-8,Insolvent,122,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,OR,183,122,-18,0,97,3.4,7,7,62,4,-5,-5,-15,Insolvent,159,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,OR,218,159,31,0,95,3.4,1,1,65,3,-6,-8,-8,Insolvent,216,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,OR,289,216,11,0,100,3.4,-18,-3,73,3,-3,-8,22,Insolvent,206,1,1,1,1,0,1,0,1,1,1,1,1,1
2013,OR,277,206,-2,0,101,3.4,3,3,72,4,0,-3,0,Insolvent,195,1,1,1,1,0,1,1,1,1,1,1,1,1
2014,OR,259,195,-2,0,99,2.9,4,4,72,4,0,0,0,Insolvent,191,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,OR,250,191,3,0,96,2.7,5,5,68,3,1,1,2,Insolvent,197,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,WA,558,165,12,0,90,4.3,11,11,81,14,2,15,20,Insolvent,158,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,WA,524,158,7,0,89,4.4,12,12,79,6,1,4,5,Insolvent,159,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,WA,500,159,11,0,90,4.5,10,10,73,6,-3,0,-1,Insolvent,143,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,WA,478,143,-8,0,95,4.2,2,2,70,6,-5,-6,-8,Insolvent,110,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,WA,392,110,-18,0,96,3.7,8,8,63,5,-6,-6,-14,Insolvent,142,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,WA,417,142,31,0,93,3.8,1,1,68,4,-6,-9,-8,Insolvent,160,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,WA,416,160,11,0,99,3.9,-2,-2,68,2,-3,-8,14,Insolvent,152,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,WA,384,152,-2,0,100,3.4,3,3,67,2,-1,-4,-1,Insolvent,144,1,1,1,1,0,1,1,1,1,1,1,1,1
2014,WA,362,144,-2,0,97,3,4,4,66,2,0,-1,0,Insolvent,143,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,WA,339,143,3,0,96,2.7,4,4,66,2,0,0,1,Insolvent,147,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,CA,621,206,12,0,95,2.1,13,13,116,11,4,22,29,Insolvent,191,1,1,1,1,1,0,1,1,0,1,1,0,0
2007,CA,553,191,7,0,94,2,16,20,111,13,2,7,8,Insolvent,192,1,1,1,1,1,0,1,1,0,1,1,1,1
2008,CA,550,192,11,0,95,2.9,9,9,107,10,2,7,2,Insolvent,187,1,1,1,1,1,0,1,1,0,1,1,1,1
2009,CA,612,187,-8,0,100,2,-6,-14,114,13,-4,1,-8,Insolvent,136,1,1,1,1,0,0,1,0,0,1,1,1,1
2010,CA,574,136,-18,0,102,1.4,14,14,126,9,-4,-2,-16,Insolvent,179,1,1,1,1,0,0,1,1,0,1,1,1,1
2011,CA,575,179,31,0,100,1.4,-1,4,136,8,-6,-7,-8,Insolvent,192,1,1,1,1,0,0,1,1,0,1,1,1,1
2012,CA,561,192,11,0,104,1.2,4,-4,150,12,-3,-8,22,Insolvent,191,1,1,1,1,0,0,1,1,0,1,1,1,1
2013,CA,591,191,-2,0,105,1,-2,-2,153,13,2,-1,1,Insolvent,182,1,1,1,1,0,0,1,1,0,1,1,1,1
2014,CA,565,182,-2,1,102,1,3,4,157,8,0,2,1,Insolvent,174,1,1,1,1,0,0,1,1,0,1,1,1,1
2015,CA,527,174,3,1,100,0.7,8,4,144,6,1,1,3,Insolvent,184,1,1,1,1,0,0,1,1,0,1,1,1,1
2006,CA,989,178,12,1,92,2.2,13,13,124,12,3,21,24,Insolvent,160,0,1,1,1,1,0,1,1,0,1,1,0,1
2007,CA,896,160,7,1,92,3.1,19,19,112,12,1,6,6,Insolvent,161,1,1,1,1,1,1,1,1,0,1,1,1,1
2008,CA,867,161,11,1,93,3.3,9,9,108,7,2,6,1,Insolvent,162,1,1,1,1,1,1,1,1,0,1,1,1,1
2009,CA,967,162,-8,2,99,2.5,-8,-8,151,7,-3,1,-7,Insolvent,108,0,1,1,1,1,0,1,1,0,1,1,1,1
2010,CA,785,108,-18,1,100,1.7,23,23,143,4,-4,-2,-13,Insolvent,135,1,1,1,1,0,0,1,1,0,1,1,1,1
2011,CA,766,135,31,2,99,1.1,5,5,151,4,-5,-6,-6,Insolvent,163,1,1,1,1,1,0,1,1,0,1,1,1,1
2012,CA,851,163,11,2,104,0.6,-8,-4,172,8,-2,-6,18,Insolvent,157,1,1,1,1,0,0,1,1,0,1,1,1,1
2013,CA,849,157,-2,2,105,0.4,1,1,164,8,2,-1,1,Insolvent,142,1,1,1,1,0,0,1,1,0,1,1,1,1
2014,CA,801,142,-2,2,101,0.5,9,11,183,2,0,1,0,Insolvent,137,1,1,1,1,0,0,1,1,0,1,1,1,1
2015,CA,764,137,3,2,98,0.3,7,7,152,3,1,1,2,Insolvent,142,1,1,1,1,1,0,1,1,0,1,1,1,1
2006,IL,999,138,12,0,93,2.9,16,16,160,21,2,14,17,Insolvent,125,0,1,1,1,1,0,1,1,0,1,1,1,1
2007,IL,999,125,7,0,93,2.8,18,18,143,8,1,4,4,Insolvent,124,0,1,1,1,1,0,1,1,0,1,1,1,1
2008,IL,999,124,11,0,93,2.9,11,11,134,5,0,3,0,Insolvent,115,0,1,1,1,1,0,1,1,0,1,1,1,1
2009,IL,1035,115,-8,0,98,2.7,-1,-1,132,7,-3,-2,-6,Solvent,85,0,1,1,1,1,0,1,1,0,1,1,1,1
2010,IL,782,85,-18,0,99,2.2,11,11,105,3,-3,-3,-10,Insolvent,115,1,1,1,1,1,0,1,1,0,1,1,1,1
2011,IL,789,115,31,0,97,2,-3,-3,129,7,-4,-6,-6,Insolvent,132,1,1,1,1,1,0,1,1,0,1,1,1,1
2012,IL,869,132,11,0,101,2,-3,-3,127,5,-2,-5,14,Insolvent,128,1,1,1,1,0,0,1,1,0,1,1,1,1
2013,IL,912,128,-2,0,103,1.8,1,1,134,2,0,-2,0,Insolvent,121,0,1,1,1,0,0,1,1,0,1,1,1,1
2014,IL,844,121,-2,0,100,1.5,4,4,133,1,0,0,0,Insolvent,121,1,1,1,1,0,0,1,1,0,1,1,1,1
2015,IL,782,121,3,0,98,1.2,3,3,132,1,1,1,2,Insolvent,124,1,1,1,1,1,0,1,1,0,1,1,1,1
2006,CA,603,358,12,0,106,4.3,-13,-13,99,24,51,103,148,Insolvent,304,1,0,1,1,0,1,0,0,1,1,0,0,0
2007,CA,566,304,7,0,99,4.3,26,26,90,14,13,64,74,Insolvent,283,1,0,1,1,1,1,1,0,1,1,1,0,0
2008,CA,585,283,11,0,93,4.6,19,19,96,14,-5,13,29,Insolvent,312,1,1,1,1,1,1,1,1,1,1,1,1,0
2009,CA,720,312,-8,0,98,4.3,-17,-17,103,18,-1,0,-6,Insolvent,200,1,0,1,1,1,1,0,0,1,1,1,1,1
2010,CA,530,200,-18,0,96,4.4,29,29,96,16,-26,-14,-27,Insolvent,244,1,1,1,1,1,1,1,0,1,1,1,1,1
2011,CA,550,244,31,0,89,4.3,8,8,97,14,-19,-44,-12,Insolvent,275,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,CA,598,275,11,0,98,3.7,-2,-2,96,8,-7,-24,34,Insolvent,259,1,1,1,1,1,1,1,1,1,1,1,1,0
2013,CA,587,259,-2,0,101,3.4,4,4,93,7,-3,-10,2,Insolvent,237,1,1,1,1,0,1,1,1,1,1,1,1,1
2014,CA,528,237,-2,0,98,3,8,8,90,5,1,-2,1,Insolvent,228,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,CA,499,228,3,0,96,2.7,7,7,86,4,0,1,3,Insolvent,233,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,TX,229,179,12,0,90,4.4,11,11,71,10,3,17,23,Insolvent,168,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,TX,411,168,7,0,89,4.6,14,14,69,4,1,5,6,Insolvent,171,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,TX,558,171,11,0,91,4.9,9,9,71,10,0,5,1,Insolvent,152,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,TX,613,152,-8,0,95,4,3,3,134,10,-4,-1,-7,Insolvent,118,1,1,1,1,1,1,1,1,0,1,1,1,1
2010,TX,610,118,-18,0,97,2.5,6,6,73,6,-4,-3,-14,Insolvent,157,1,1,1,1,1,0,1,1,1,1,1,1,1
2011,TX,612,157,31,0,96,2.5,-1,-1,71,3,-6,-7,-8,Insolvent,176,1,1,1,1,1,0,1,1,1,1,1,1,1
2012,TX,682,176,11,0,100,2.4,-1,-3,79,3,-3,-7,19,Insolvent,172,1,1,1,1,0,0,1,1,1,1,1,1,1
2013,TX,950,172,-2,0,102,2.1,0,0,88,2,1,-2,0,Insolvent,164,0,1,1,1,0,0,1,1,1,1,1,1,1
2014,TX,986,164,-2,0,99,1.9,4,4,84,2,0,1,0,Insolvent,163,0,1,1,1,1,0,1,1,1,1,1,1,1
2015,TX,991,163,3,0,97,1.4,3,3,86,1,1,1,3,Insolvent,170,0,1,1,1,1,0,1,1,1,1,1,1,1
2006,CA,640,210,12,1,94,1.9,14,14,118,9,4,24,29,Insolvent,191,1,1,1,1,1,0,1,1,0,1,1,0,0
2007,CA,552,191,7,0,94,1.8,18,18,99,7,2,7,8,Insolvent,197,1,1,1,1,1,0,1,1,1,1,1,1,1
2008,CA,543,197,11,0,95,2.4,7,7,94,7,2,7,2,Insolvent,213,1,1,1,1,1,0,1,1,1,1,1,1,1
2009,CA,825,213,-8,1,101,1.7,-15,-15,111,13,-4,1,-9,Insolvent,139,1,1,1,1,0,0,0,0,0,1,1,1,1
2010,CA,582,139,-18,1,102,0.7,26,26,126,6,-5,-3,-17,Insolvent,179,1,1,1,1,0,0,1,0,0,1,1,1,1
2011,CA,611,179,31,0,100,0.2,2,2,134,7,-6,-8,-9,Insolvent,198,1,1,1,1,0,0,1,1,0,1,1,1,1
2012,CA,638,198,11,0,105,0,0,-7,143,3,-3,-8,23,Insolvent,201,1,1,1,1,0,0,1,1,0,1,1,1,1
2013,CA,667,201,-2,0,106,0,-4,-4,146,3,2,-1,1,Insolvent,188,1,1,1,1,0,0,1,1,0,1,1,1,1
2014,CA,578,188,-2,0,103,0.1,5,5,141,4,0,2,1,Insolvent,176,1,1,1,1,0,0,1,1,0,1,1,1,1
2015,CA,496,176,3,0,100,0,10,3,124,5,1,1,3,Insolvent,185,1,1,1,1,0,0,1,1,0,1,1,1,1
2006,WI,710,323,-20,0,86,3.8,-22,-22,74,0,-5,-5,-47,Insolvent,298,1,0,1,1,1,1,0,0,1,1,1,1,1
2007,WI,843,298,14,0,86,4.2,24,17,76,14,-6,-7,-6,Insolvent,311,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,WI,866,311,5,0,88,4.6,1,-4,74,13,0,-6,-9,Insolvent,312,1,0,1,1,1,1,1,1,1,1,1,1,1
2009,WI,887,312,6,0,90,4.4,6,5,81,14,-1,0,-12,Insolvent,272,1,0,1,1,1,1,1,1,1,1,1,1,1
2010,WI,828,272,13,0,91,3.3,30,20,77,12,-4,-3,-9,Insolvent,257,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,WI,878,257,11,0,91,3,17,11,75,15,-7,-6,-11,Insolvent,240,1,1,1,1,1,0,1,1,1,1,1,1,1
2012,WI,870,240,8,0,91,2.2,15,15,68,13,-5,-10,-6,Insolvent,244,1,1,1,1,1,0,1,1,1,1,1,1,1
2013,WI,896,244,7,0,92,2,6,6,68,14,-1,-6,-3,Insolvent,244,1,1,1,1,1,0,1,1,1,1,1,1,1
2014,WI,911,244,5,0,91,2,5,5,69,15,-1,-1,-1,Insolvent,245,0,1,1,1,1,0,1,1,1,1,1,1,1
2015,WI,894,245,12,0,90,1.9,11,11,66,14,0,-1,4,Insolvent,251,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,TX,110,87,-6,0,83,3.1,6,6,69,18,0,-4,-2,Solvent,82,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,TX,105,82,2,0,91,3,8,8,59,18,0,0,0,Solvent,80,1,1,1,1,1,0,1,1,1,1,1,1,1
2008,TX,100,80,2,0,91,3.2,4,4,57,17,-1,0,0,Insolvent,106,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,TX,149,106,-8,0,108,3.8,-31,-31,87,25,-1,-1,-5,Insolvent,122,1,1,1,1,0,1,0,0,1,1,1,1,1
2010,TX,159,122,15,0,121,3.1,1,1,88,27,-4,-1,-3,Insolvent,119,1,1,1,1,0,1,1,1,1,1,1,1,1
2011,TX,151,119,7,0,105,2.9,9,9,83,27,-4,-6,-4,Insolvent,175,1,1,1,1,0,0,1,1,1,1,1,1,1
2012,TX,208,175,8,0,109,2.7,-26,-26,106,37,-1,-3,0,Insolvent,162,1,1,1,1,0,0,0,0,0,1,1,1,1
2013,TX,201,162,1,0,111,2,9,9,101,34,2,-1,-9,Insolvent,237,1,1,1,1,0,0,1,1,1,1,1,1,1
2014,TX,298,237,3,0,111,1.6,-30,-30,130,55,-4,2,-13,Insolvent,225,1,1,1,1,0,0,0,0,0,0,1,1,1
2015,TX,286,225,-4,0,110,2,1,1,137,63,4,2,15,Insolvent,223,1,1,1,1,0,0,1,1,0,0,1,1,1
2006,OH,517,314,7,0,85,3.5,6,6,67,0,-6,-3,-11,Insolvent,301,1,0,1,1,1,1,1,1,1,1,1,1,1
2007,OH,516,301,8,0,85,4.5,13,13,73,2,-5,-8,-7,Insolvent,301,1,0,1,1,1,1,1,1,1,1,1,1,1
2008,OH,639,301,5,0,87,4.3,5,5,87,12,0,-5,-9,Insolvent,265,1,0,1,1,1,1,1,1,1,1,1,1,1
2009,OH,899,265,6,0,90,2.3,20,16,77,18,-1,0,-10,Insolvent,263,1,1,1,1,1,0,1,1,1,1,1,1,1
2010,OH,870,263,13,0,92,2.1,15,15,75,16,-3,-3,-9,Insolvent,259,1,1,1,1,1,0,1,1,1,1,1,1,1
2011,OH,860,259,11,0,92,1.7,13,13,77,17,-7,-5,-11,Insolvent,266,1,1,1,1,1,0,1,1,1,1,1,1,1
2012,OH,902,266,8,0,92,1.8,5,5,77,17,-5,-10,-7,Insolvent,259,0,1,1,1,1,0,1,1,1,1,1,1,1
2013,OH,893,259,7,0,93,1.5,10,10,75,17,-1,-7,-3,Insolvent,249,1,1,1,1,1,0,1,1,1,1,1,1,1
2014,OH,900,249,5,0,92,1.6,9,9,76,17,-2,-1,-1,Insolvent,251,0,1,1,1,1,0,1,1,1,1,1,1,1
2015,OH,908,251,12,0,92,1.5,11,11,73,15,0,-2,4,Insolvent,239,0,1,1,1,1,0,1,1,1,1,1,1,1
2008,WI,39,0,999,0,0,3.8,2,2,15,1,0,0,0,Solvent,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2009,WI,294,1,1200,0,0,2.8,6,6,48,6,0,0,0,Solvent,2,1,1,0,1,1,0,1,1,1,1,1,1,1
2010,WI,423,2,87,0,0,1.3,4,4,62,9,-1,0,0,Solvent,3,1,1,0,1,1,0,1,1,1,1,1,1,1
2011,MA,559,237,999,16,92,2.8,6,6,111,36,-5,-10,0,Insolvent,153,1,1,0,0,1,0,1,1,0,1,1,1,1
2012,MA,391,153,-29,10,92,3,9,9,92,32,-4,-11,1,Insolvent,160,1,1,1,1,1,0,1,1,1,1,1,1,1
2013,MA,333,160,14,8,95,1.6,9,9,91,31,-1,-4,6,Insolvent,171,1,1,1,1,1,0,1,1,1,1,1,1,1
2014,MA,343,171,12,8,93,3,5,5,90,34,2,0,5,Insolvent,167,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,MA,306,167,9,6,97,2.1,12,12,84,31,5,3,-2,Insolvent,185,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,CO,5,5,999,0,0,4.4,66,1,4,0,0,0,0,Solvent,15,1,1,0,1,1,1,0,1,1,1,1,1,1
2007,CO,15,15,212,0,42,3.7,4,4,6,1,1,0,0,Solvent,14,1,1,0,1,1,1,1,1,1,1,1,1,1
2008,CO,16,14,-13,0,110,3.3,-8,-8,14,1,2,1,-6,Solvent,11,1,1,1,1,0,1,1,1,1,1,1,1,1
2009,CO,16,11,-29,0,176,2.9,-6,-6,21,1,-3,2,-13,Solvent,0,1,1,1,1,0,0,1,1,1,1,1,1,1
2010,CO,1,0,-146,0,241,0.9,-51,1,6,0,0,0,0,Insolvent,181,1,1,0,1,0,0,0,1,1,1,1,1,1
2007,OH,188,13,999,0,0,5.9,-48,18,22,1,0,0,0,Solvent,14,1,1,0,1,1,1,0,1,1,1,1,1,1
2008,OH,124,14,3,0,35,5.7,-4,-4,14,1,0,0,0,Solvent,12,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,OH,128,12,-12,0,56,3.3,1,1,21,1,0,-1,0,Solvent,12,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,OH,174,12,-5,0,61,3.2,-5,2,14,1,-1,-1,-1,Solvent,14,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,OH,176,14,12,0,60,3,-3,4,14,1,-1,-1,-1,Solvent,16,1,1,1,1,1,0,1,1,1,1,1,1,1
2012,OH,158,16,14,0,70,2.6,-2,4,15,1,0,-1,0,Solvent,20,1,1,1,1,1,0,1,1,1,1,1,1,1
2013,OH,241,20,16,0,83,2,-4,2,44,21,0,0,0,Solvent,21,1,1,1,1,1,0,1,1,1,1,1,1,1
2014,OH,296,21,7,0,89,1.3,-2,1,18,2,0,0,0,Solvent,22,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,OH,293,22,1,0,89,1.4,-2,2,19,2,0,0,0,Solvent,23,1,1,1,1,1,0,1,1,1,1,1,1,1
2009,NJ,0,0,0,0,999,2.5,30,30,82,0,-11,-18,0,Solvent,1,1,1,1,1,0,0,1,0,1,1,1,1,1
2015,NJ,49,36,999,0,0,0.2,-80,-39,59,23,-9,-29,0,Insolvent,101,1,1,0,1,1,0,0,0,1,1,1,1,1
2007,CT,1,0,999,0,999,4.1,-1,-1,174,1,138,283,0,Solvent,1,1,1,0,1,0,1,1,1,0,1,0,0,1
2008,CT,1,1,226,0,999,3.5,15,15,194,1,175,310,0,Solvent,0,1,1,0,1,0,1,1,1,0,1,0,0,1
2009,CT,0,0,-93,0,1983,3.3,-17,-17,219,1,73,259,0,Solvent,0,1,1,0,1,0,1,0,0,0,1,0,0,1
2010,CT,0,0,-219,0,999,2.8,6,6,245,1,109,164,0,Solvent,0,1,1,0,1,0,0,1,1,0,1,0,0,1
2011,CT,0,0,999,0,3516,2,-9,-9,396,1,104,219,0,Solvent,0,1,1,0,1,0,0,1,1,0,1,0,0,1
2014,CT,0,0,999,0,1133,2.3,-2,-2,135,0,34,111,0,Solvent,0,1,1,0,1,0,0,1,1,0,1,0,0,1
2015,CT,0,0,-27,0,2929,2.2,1,1,131,0,27,61,0,Solvent,0,1,1,1,1,0,0,1,1,0,1,0,0,1
2007,CT,0,0,999,0,0,5.3,4,4,7,0,0,0,0,Solvent,0,1,1,0,1,1,1,1,1,1,1,1,1,1
2008,CT,0,0,226,0,0,5.6,4,4,3,0,0,0,0,Solvent,0,1,1,0,1,1,1,1,1,1,1,1,1,1
2006,MO,368,74,2,0,87,4.2,17,17,92,8,3,4,-3,Solvent,71,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,MO,342,71,7,0,81,3.9,11,11,90,8,0,2,2,Solvent,59,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,MO,284,59,1,0,80,4.1,21,19,83,8,1,1,5,Solvent,56,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,MO,258,56,3,0,86,4.3,8,8,79,9,2,3,0,Solvent,62,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,MO,310,62,-16,0,88,4.9,-24,-24,75,12,1,4,-5,Solvent,56,1,1,1,1,1,1,0,0,1,1,1,1,1
2006,NE,235,97,2,0,87,4.5,21,21,80,11,4,6,-5,Solvent,93,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,NE,217,93,7,0,81,5.1,11,11,75,10,-1,3,3,Solvent,81,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,OH,272,125,-16,0,89,5.4,-6,-6,86,24,3,5,-11,Insolvent,127,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,CA,498,73,2,0,85,4.2,7,7,73,8,2,4,-3,Solvent,70,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,CA,469,70,7,0,79,5,12,12,74,12,0,2,2,Solvent,65,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,CA,432,65,1,0,77,4.9,10,10,70,13,1,1,6,Solvent,63,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,CA,191,113,2,0,89,4.6,-3,19,115,12,3,5,-5,Insolvent,113,1,1,1,1,1,1,1,1,0,1,1,1,1
2007,CA,190,113,7,0,76,10,6,28,110,38,-1,3,3,Insolvent,120,1,1,1,1,1,0,1,0,0,1,1,1,1
2008,CA,206,120,1,0,74,4.5,-5,20,117,50,2,2,11,Insolvent,126,1,1,1,1,1,1,1,1,0,0,1,1,1
2009,CA,232,126,3,0,90,4.2,-1,3,131,70,4,5,1,Solvent,100,1,1,1,1,1,1,1,1,0,0,1,1,1
2010,CA,183,100,-15,0,85,12.6,7,18,120,46,5,9,-7,Solvent,95,1,1,1,1,1,0,1,1,0,0,1,1,1
2011,CA,162,95,-15,0,83,6.7,-10,-10,117,45,7,12,-26,Solvent,90,1,1,1,1,1,0,0,0,0,0,1,1,1
2012,CA,161,90,4,0,102,4,9,4,122,58,9,15,-10,Insolvent,144,1,1,1,1,0,1,1,1,0,0,1,1,1
2013,CA,180,144,35,0,116,3.6,-16,-24,123,73,18,26,-12,Insolvent,104,1,1,0,1,0,1,0,0,0,0,1,0,1
2006,IL,357,101,2,0,87,4.5,19,19,79,11,4,6,-5,Solvent,97,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,IL,337,97,7,0,81,4.8,12,12,76,11,-1,3,3,Solvent,85,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,IL,290,85,1,0,79,5,15,15,71,12,2,2,7,Solvent,82,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,IL,276,82,3,0,85,5.4,6,6,71,13,3,5,1,Insolvent,121,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,IL,484,121,-16,0,87,6.2,-43,0,90,24,2,5,-10,Insolvent,101,1,1,1,1,1,1,0,1,1,1,1,1,1
2007,TX,213,210,999,0,83,4,55,5,161,1,0,-4,0,Solvent,69,1,1,0,1,1,1,0,1,0,1,1,1,1
2008,TX,81,69,-38,0,84,3.3,89,12,94,2,-5,0,-24,Solvent,62,1,1,0,1,1,1,0,1,1,1,1,1,1
2009,TX,114,62,-5,0,91,3.8,6,6,106,3,-5,-10,-30,Insolvent,188,1,1,1,1,1,1,1,1,0,1,1,1,1
2010,TX,277,188,184,0,88,4.6,-7,-7,90,37,-7,-12,-91,Insolvent,199,1,1,0,1,1,1,1,1,1,1,1,1,1
2011,TX,289,199,20,0,88,3.4,13,13,90,37,-11,-17,-41,Insolvent,203,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,TX,294,203,11,0,91,3.3,8,8,92,37,1,-11,4,Insolvent,202,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,TX,435,202,4,0,99,3.1,5,5,94,42,21,15,6,Insolvent,141,1,1,1,1,1,1,1,1,1,0,0,1,1
2014,MI,396,141,-14,0,106,2.4,23,-3,97,43,16,33,-37,Insolvent,114,1,1,1,1,0,0,1,1,1,0,1,0,1
2006,PA,115,97,-18,0,83,6.7,-6,-6,81,12,1,5,38,Solvent,84,1,1,1,1,1,0,1,1,1,1,1,1,0
2007,PA,117,84,-6,0,85,4.6,8,8,78,8,-2,-1,22,Solvent,85,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,PA,118,85,-14,0,86,3.2,-15,-15,73,7,-5,-3,-3,Insolvent,135,1,1,1,1,1,1,0,0,1,1,1,1,1
2009,PA,191,135,7,0,87,2.9,-33,-33,85,6,-5,-8,-8,Insolvent,111,1,1,1,1,1,0,0,0,1,1,1,1,1
2010,PA,136,111,-3,0,87,2.7,18,18,83,15,-8,-10,3,Insolvent,101,1,1,1,1,1,0,1,1,1,1,1,1,1
2011,PA,102,101,-40,0,91,3.8,-34,-17,86,11,-4,-14,-17,Insolvent,122,1,1,0,1,1,1,0,0,1,1,1,1,1
2014,IA,160,160,999,0,999,0.4,27,27,48,0,0,-1,0,Solvent,46,1,1,0,1,0,0,1,0,1,1,1,1,1
2015,IA,46,46,-26,0,70,0.2,160,31,42,0,-4,-4,-15,Solvent,46,1,1,1,1,1,0,0,0,1,1,1,1,1
2006,PA,168,77,0,0,89,5.4,3,3,113,10,1,2,28,Solvent,60,1,1,1,1,1,1,1,1,0,1,1,1,0
2007,PA,129,60,-6,0,82,6.4,21,21,94,6,-1,-1,15,Solvent,53,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,PA,111,53,-14,1,74,7.1,-3,-3,90,4,-3,-2,-2,Solvent,80,1,1,1,1,1,0,1,1,1,1,1,1,1
2009,PA,166,80,7,1,77,4.2,-29,-31,107,9,-3,-5,-5,Solvent,67,1,1,1,1,1,1,0,0,0,1,1,1,1
2010,PA,136,67,-3,0,84,2.6,16,16,107,13,-5,-6,2,Solvent,59,1,1,1,1,1,0,1,1,0,1,1,1,1
2011,PA,148,59,-40,2,81,8.9,-32,-21,107,11,-2,-8,-10,Solvent,67,1,1,0,1,1,0,0,0,0,1,1,1,1
2012,PA,126,67,12,0,83,1.4,-1,-1,125,9,-4,-5,-20,Solvent,31,1,1,1,1,1,0,1,1,0,1,1,1,1
2013,PA,58,31,-56,0,94,12,-4,-5,208,1,2,-2,50,Solvent,0,1,1,0,1,1,0,1,1,0,1,1,1,0
2006,MI,122,114,0,2,87,3.6,21,21,79,20,-5,-1,-4,Insolvent,102,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,MI,108,102,0,2,84,4,12,10,70,6,2,3,10,Insolvent,138,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,MI,147,138,-9,5,80,5.6,-33,-33,80,12,-3,0,-5,Insolvent,129,1,1,1,1,1,1,0,0,1,1,1,1,1
2009,MI,153,129,-16,2,83,5,-10,-10,78,11,-3,-5,-3,Solvent,75,1,1,1,1,1,1,0,0,1,1,1,1,1
