Year,State,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Insolvent?,R2_NextYear,R1_normal,R2_normal,R3_normal,R4_normal,R5_normal,R6_normal,R7_normal,R8_normal,R9_normal,R10_normal,R11_normal,R12_normal,R13_normal
2010,NY,0,0,-77,0,4306,4.5,-21,-21,47,0,41,0,0,Solvent,0,1,1,0,1,0,1,0,0,1,1,0,1,1
2006,NY,194,167,10,0,90,4.9,10,10,69,13,6,14,7,Insolvent,171,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,NY,196,171,4,0,101,5,2,-12,74,12,13,14,-10,Insolvent,154,1,1,1,1,0,1,1,0,1,1,1,1,1
2008,NY,175,154,-8,0,106,5.5,3,3,68,9,-11,11,-6,Insolvent,166,1,1,1,1,0,1,1,1,1,1,1,1,1
2009,NY,190,166,-4,0,103,5.5,-11,-11,69,11,-15,-20,-12,Insolvent,157,1,1,1,1,0,1,0,0,1,1,1,1,1
2006,VT,125,81,4,0,79,2.8,60,16,69,28,-19,-27,-41,Solvent,74,1,1,1,1,1,0,0,1,1,1,1,1,1
2007,VT,116,74,9,0,82,4.2,18,18,69,26,-12,-26,-42,Solvent,70,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,VT,102,70,11,1,79,4.9,17,17,69,23,-7,-19,-31,Solvent,67,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,VT,96,67,4,2,81,4.2,10,10,69,27,-5,-14,-26,Solvent,52,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,VT,74,52,2,1,72,3.2,32,32,62,28,-21,-30,-16,Solvent,49,1,1,1,1,1,1,1,0,1,1,1,1,1
2011,VT,70,49,4,1,71,3.1,10,10,61,24,-6,-26,-12,Solvent,50,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,VT,73,50,11,1,86,3,9,9,59,20,-1,-8,-4,Solvent,56,1,1,1,1,1,0,1,1,1,1,1,1,1
2013,VT,81,56,19,1,89,2.5,7,7,62,28,1,-4,1,Solvent,79,1,1,1,1,1,0,1,1,1,1,1,1,1
2014,VT,110,79,39,2,92,2,-3,-3,72,39,1,1,7,Solvent,92,1,1,0,1,1,0,1,1,1,1,1,1,1
2006,TX,103,17,19,0,68,3.6,4,4,22,14,0,1,2,Solvent,19,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,TX,58,19,21,0,69,3.6,11,11,24,12,-1,-1,0,Solvent,21,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,TX,56,21,14,0,72,3.5,0,0,27,15,-1,-1,0,Solvent,23,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,TX,71,23,-4,0,75,4.3,-10,-10,26,14,-2,-3,-5,Solvent,26,1,1,1,1,1,1,0,0,1,1,1,1,1
2010,TX,57,26,19,0,85,3.7,6,6,25,7,-1,-3,-5,Solvent,24,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,TX,38,24,-4,0,93,2.6,5,5,25,6,-1,-1,-2,Solvent,21,1,1,1,1,1,0,1,1,1,1,1,1,1
2012,TX,22,21,-11,0,94,2.7,-1,-1,27,6,3,0,-4,Solvent,26,1,1,1,1,1,0,1,1,1,1,1,1,1
2013,TX,26,26,29,0,88,3,4,4,30,3,0,3,-2,Solvent,33,1,1,1,1,1,0,1,1,1,1,1,1,1
2014,TX,33,33,40,0,79,2.4,12,12,34,3,-1,1,5,Solvent,37,1,1,0,1,1,0,1,1,1,1,1,1,1
2015,TX,37,37,21,0,77,2.2,6,6,36,3,-1,0,1,Solvent,29,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,NY,383,189,42,8,100,3.5,19,19,77,13,0,5,29,Insolvent,188,1,1,0,1,0,1,1,1,1,1,1,1,0
2007,NY,443,188,-19,29,101,3.1,-19,-19,84,14,-2,1,-26,Insolvent,170,1,1,1,0,0,1,0,0,1,1,1,1,1
2008,NY,381,170,-2,22,107,3,8,8,81,13,-7,-11,-23,Insolvent,191,1,1,1,0,0,0,1,1,1,1,1,1,1
2009,NY,372,191,5,19,103,2.9,-7,-7,79,12,3,-4,-23,Insolvent,172,1,1,1,0,0,0,1,1,1,1,1,1,1
2010,NY,333,172,-9,16,104,2.8,2,2,81,12,-7,1,-16,Insolvent,165,1,1,1,0,0,0,1,1,1,1,1,1,1
2011,NY,321,165,-6,13,103,2.4,-3,-3,78,11,-9,-17,-1,Insolvent,221,1,1,1,1,0,0,1,1,1,1,1,1,1
2006,LA,84,8,-17,0,224,2.7,-10,-10,35,0,2,18,5,Solvent,1,1,1,1,1,0,0,0,0,1,1,1,1,1
2007,LA,11,1,-85,0,0,4.3,23,23,8,0,-8,-5,0,Solvent,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2008,LA,0,1,-53,0,0,4.9,-33,-33,4,0,-1,-9,0,Solvent,0,1,1,0,1,1,1,0,0,1,1,1,1,1
2006,PA,79,56,999,0,50,1.1,999,999,125,56,0,0,0,Insolvent,147,1,1,0,1,1,0,0,0,0,0,1,1,1
2007,PA,207,147,535,0,97,4.9,93,-5,72,20,0,0,0,Insolvent,104,1,1,0,1,1,1,0,1,1,1,1,1,1
2008,PA,140,104,55,0,87,4.4,120,19,77,41,-29,0,-59,Solvent,99,1,1,0,1,1,1,0,1,1,0,1,1,1
2011,PA,83,59,-2,0,79,4.1,8,5,77,22,-19,-57,-74,Solvent,53,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,PA,72,53,0,0,86,4.2,12,11,72,17,-13,-22,-28,Solvent,43,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,PA,60,43,-9,0,79,4.1,11,10,67,11,-17,-22,-10,Solvent,35,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,PA,48,35,-12,0,79,3.6,8,8,64,10,-9,-17,-19,Solvent,43,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,PA,43,43,20,0,95,2.6,-2,-2,69,8,6,-1,-7,Solvent,43,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,PA,121,68,4,0,90,2.2,2,2,72,8,2,9,-15,Solvent,61,1,1,1,1,1,0,1,1,1,1,1,1,1
2007,PA,66,61,-1,0,80,3.7,11,11,66,8,-5,1,-24,Solvent,49,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,PA,58,49,-10,0,69,4.9,12,12,64,8,-17,-22,-32,Solvent,36,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,PA,27,19,15,0,70,3.4,121,5,37,3,-3,-5,-2,Solvent,31,1,1,1,1,1,1,0,1,1,1,1,1,1
2012,PA,40,31,78,2,56,4.7,19,11,60,4,0,-1,-8,Solvent,48,1,1,0,1,1,1,1,1,1,1,1,1,1
2013,PA,62,48,14,2,59,4.4,-26,-27,68,7,1,-2,22,Solvent,25,1,1,1,1,1,1,0,0,1,1,1,1,1
2014,PA,64,25,-42,1,63,3.8,11,11,62,8,-7,-4,-17,Solvent,38,1,1,0,1,1,1,1,1,1,1,1,1,1
2015,PA,70,38,51,2,59,4.1,0,0,61,8,-2,-10,12,Solvent,51,1,1,0,1,1,1,1,1,1,1,1,1,1
2006,IL,287,287,-2,0,96,0.3,7,7,106,43,26,102,54,Insolvent,251,1,1,1,1,1,0,1,1,0,0,0,0,0
2007,IL,251,251,-10,0,98,2.7,3,3,107,44,9,49,9,Insolvent,325,1,1,1,1,1,0,1,1,0,0,1,0,1
2010,IL,433,433,-16,0,108,0.4,13,-13,121,15,45,82,6,Insolvent,285,1,0,1,1,0,0,1,0,0,1,0,0,1
2011,IL,285,285,-13,0,102,2.6,33,33,103,12,5,45,-39,Insolvent,329,1,1,1,1,0,0,1,0,1,1,1,0,1
2012,IL,388,329,-13,7,99,0,-25,-25,119,22,-1,4,-56,Insolvent,317,1,0,1,1,1,0,0,0,0,1,1,1,1
2013,IL,311,317,29,0,97,0,34,34,107,24,-40,-31,-38,Insolvent,385,1,0,1,1,1,0,1,0,0,1,1,1,1
2014,IL,385,385,19,0,101,0,-2,-2,106,14,-1,-41,-2,Insolvent,337,1,0,1,1,0,0,1,1,0,1,1,1,1
2015,IL,337,337,-4,0,104,0,10,10,103,10,0,-26,-18,Insolvent,359,1,0,1,1,0,0,1,1,1,1,1,1,1
2006,UT,73,72,7,0,88,4.5,12,12,73,2,1,1,-5,Solvent,70,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,UT,71,70,16,0,87,4.4,18,18,71,2,0,2,7,Solvent,58,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,UT,59,58,-5,0,86,4.5,15,15,68,2,2,11,-2,Solvent,52,1,1,1,1,1,1,1,1,1,1,1,1,1
